Sno,WT1:U-1,WT1:I-1,WT1:P-1,WT1:S-1,WT1:Q-1,WT1:PF-1,WT1:Phi-1,Class,R,pdiff,sdiff,qdiff,rdiff,Device
3605,232.77,9.867,2280,2300,279,0.9926,6.97,27,21.4198950952,-50,-50,-41,0.3335706223,NN
3606,232.24,9.676,2230,2250,238,0.9944,6.07,27,21.7534657175,-10,-20,-24,0.1989062349,NN
3607,232.3,9.582,2220,2230,214,0.9954,5.52,27,21.9523719524,-20,-20,-16,0.1434819845,NN
3608,232.36,9.516,2200,2210,198,0.996,5.15,27,22.0958539369,0,-10,-8,0.0722116869,NN
3609,232.41,9.484,2200,2200,190,0.9963,4.95,27,22.1680656238,-10,0,-6,0.049483602,NN
3610,232.44,9.462,2190,2200,184,0.9965,4.8,27,22.2175492258,0,0,-4,0.0444695446,NN
3611,232.46,9.442,2190,2200,180,0.9966,4.69,27,22.2620187704,0,-10,-5,0.0318055488,NN
3612,232.48,9.428,2190,2190,175,0.9968,4.58,27,22.2938243191,-10,0,-3,0.0328513098,NN
3613,232.51,9.414,2180,2190,172,0.9969,4.51,27,22.326675629,0,0,-3,0.0233820412,NN
3614,232.53,9.404,2180,2190,169,0.997,4.44,27,22.3500576701,0,-10,-1,0.018616565,NN
3615,232.5,9.394,2180,2180,168,0.997,4.41,27,22.3686742351,0,0,-1,0.0093452048,NN
3616,232.53,9.391,2180,2180,167,0.9971,4.39,27,22.3780194399,0,0,-1,0.0126988347,NN
3617,232.55,9.386,2180,2180,166,0.9971,4.35,27,22.3907182746,0,0,-1,0.0127110675,NN
3618,232.57,9.381,2180,2180,165,0.9971,4.35,27,22.4034293421,0,0,0,0.0031217177,NN
3619,232.58,9.38,2180,2180,165,0.9971,4.33,27,22.4065510597,0,0,0,0.0040858032,NN
3620,232.6,9.379,2180,2180,165,0.9972,4.33,27,22.4106368629,-10,0,-1,0.0088734514,NN
3621,232.58,9.374,2170,2180,164,0.9972,4.3,27,22.4195103142,0,0,-1,0.0019278967,NN
3622,232.6,9.374,2170,2180,163,0.9972,4.29,27,22.4214382109,10,0,0,-0.0002333916,NN
3623,232.62,9.375,2180,2180,163,0.9972,4.29,27,22.4212048193,-10,0,-1,0.0120095698,NN
3624,232.61,9.369,2170,2180,162,0.9972,4.26,27,22.433214389,0,0,1,-0.0076865765,NN
3625,232.62,9.373,2170,2180,163,0.9972,4.29,27,22.4255278126,0,0,-1,0.0064876165,NN
3626,232.62,9.37,2170,2180,162,0.9972,4.27,27,22.4320154291,0,0,0,0.001433645,NN
3627,232.59,9.368,2170,2180,162,0.9972,4.27,27,22.4334490741,0,0,0,0.0052929672,NN
3628,232.6,9.366,2170,2180,162,0.9972,4.27,27,22.4387420413,0,0,0,0,NN
3629,232.6,9.366,2170,2180,162,0.9972,4.26,27,22.4387420413,0,0,0,-0.0052929672,NN
3630,232.59,9.368,2170,2180,162,0.9972,4.27,27,22.4334490741,0,0,0,0.0009645062,NN
3631,232.6,9.368,2170,2180,162,0.9972,4.26,27,22.4344135802,0,0,0,0.0055285326,NN
3632,232.59,9.365,2170,2180,162,0.9972,4.26,27,22.4399421129,0,0,0,0.0012003032,NN
3633,232.58,9.364,2170,2180,162,0.9972,4.27,27,22.4411424161,0,0,-1,0.0021655064,NN
3634,232.58,9.363,2170,2180,161,0.9972,4.25,27,22.4433079224,0,0,1,0.000235795,NN
3635,232.56,9.362,2170,2180,162,0.9972,4.26,27,22.4435437174,0,0,0,-0.0055311752,NN
3636,232.57,9.365,2170,2180,162,0.9972,4.26,27,22.4380125422,0,0,0,0.0045661106,NN
3637,232.55,9.362,2170,2180,162,0.9972,4.26,27,22.4425786528,0,0,0,-0.0012006734,NN
3638,232.56,9.363,2170,2180,162,0.9972,4.26,27,22.4413779793,0,0,0,0.0019299431,NN
3639,232.58,9.363,2170,2180,162,0.9972,4.26,27,22.4433079224,0,0,0,0,NN
3640,232.58,9.363,2170,2180,162,0.9972,4.26,27,22.4433079224,0,0,0,-0.0043305949,NN
3641,232.58,9.365,2170,2180,162,0.9972,4.27,27,22.4389773275,0,0,0,0.0024006518,NN
